ARIEL,['7301']
ARROYO LOS HUESOS,['7301']
AZUL,['7300']
BASE NAVAL AZOPARDO,['7301']
BERNARDO VERA Y PINTADO,['7313']
CACHARI,['7214']
CAMINERA AZUL,['7300']
CAMPODONICO,['7305']
CERRO AGUILA,['7403']
CHILLAR,['7311']
CUARTEL II,['7300']
ESTACION LAZZARINO,['7300']
FORTIN IRENE,['7316']
FRANCISCO J MEEKS,['7301']
KILOMETRO 433,['7313']
LA CHUMBEADA,"['7223', '7316']"
LA COLORADA,"['7119', '7300']"
LA MANTEQUERIA,['7300']
LA PROTEGIDA,"['6561', '7311']"
LA VERDE,"['6601', '7214', '7223']"
LAGUNA MEDINA,['7214']
LAS CORTADERAS,"['7300', '8504']"
LAS NIEVES,['7316']
LAZZARINO,['7300']
MARTIN FIERRO,"['6400', '7311']"
MIRAMONTE,['7214']
NIEVES,['7316']
PABLO ACOSTA,['7301']
PARISH,['7316']
SAN GERVACIO,['7305']
SAN RAMON DE ANCHORENA,['7311']
SHAW,['7300']
VAÑA,['7301']
VICENTE PEREDA,['7300']
ADELA CORTI,['8000']
AGUARA,['8105']
ALFEREZ SAN MARTIN,['8117']
BAHIA BLANCA,"['8000', '8001', '8002', '8003']"
BASE AERONAVAL CMTE ESPORA,['8107']
CABILDO,['8118']
COCHRANE,['8118']
COLONIA BELLA VISTA,['8000']
CORTI,['8118']
ESPORA,"['6601', '8107']"
GARRO,['8103']
GRAL DANIEL CERRI,['8105']
GRUMBEIN,['8049']
INGENIERO WHITE,['8103']
KILOMETRO 11,['8101']
KILOMETRO 652,['8109']
KILOMETRO 666,['8105']
KILOMETRO 9 SUD,['8101']
LA VITICOLA,['8122']
PUERTO GALVAN,['8000']
SAUCE CHICO,['8105']
SPURR,['8103']
VENANCIO,['8117']
VILLA BUENOS AIRES,['8000']
VILLA CERRITO,['8000']
VILLA DOMINGO PRONSATO,['8000']
VILLA FLORESTA,['8000']
VILLA HARDING GREEN,['8101']
VILLA HERMINIA,['8101']
VILLA ITALIA,"['7000', '8000']"
VILLA LIBRE,['8000']
VILLA LORETO,['8000']
VILLA MITRE,['8000']
VILLA NOCITO,['8000']
VILLA OBRERA,['8000']
VILLA OLGA GRUMBEIN,['8000']
VILLA ROSAS,['8103']
VILLA SANCHEZ ELIA,['8000']
VILLA SERRA,['8103']
ZONA CANGREJALES,['8103']
BALCARCE,['7620']
BOSCH,['7620']
CAMINERA NAPALEOFU,['7007']
CAMPO LA PLATA,['7623']
CAMPO LEITE,['7623']
EL CRUCE,['7620']
EL HERVIDERO,['7007']
EL JUNCO,['7620']
EL VERANO,['7620']
EL VOLANTE,['7620']
HARAS OJO DEL AGUA,['7620']
LA BRAVA,['7620']
LA ESPERANZA,"['2915', '7007', '7223']"
LA PARA,['7620']
LA SARA,"['6612', '7621']"
LAGUNA BRAVA,['7620']
LAS SUIZAS,['7007']
LOS CARDOS,['7620']
LOS PINOS,"['7412', '7623']"
NAPALEOFU,['7007']
RAMOS OTERO,['7621']
RINCON DE BAUDRIX,['7621']
SAN AGUSTIN,['7623']
SAN ALBERTO,['7620']
SAN SIMON,['7621']
ALSINA,['2938']
BARADERO,['2942']
EL SILENCIO,['2752']
ESTACION BARADERO,['2942']
ESTANCIA SANTA CATALINA,['2761']
IRENEO PORTELA,['2943']
ISLA LOS LAURELES,['2931']
PANAME,['2931']
SANTA COLOMA,['2761']
BARKER,['7033']
BENITO JUAREZ,['7020']
CAMINERA JUAREZ,['7020']
CHAPAR,['7020']
CORONEL RODOLFO BUNGE,['7313']
EL LUCHADOR,['7313']
ESTANCIA CHAPAR,['7020']
HARAS EL CISNE,['7020']
KILOMETRO 404,['7005']
LA CALERA,['7020']
LA NUTRIA,['7313']
LOPEZ,['7021']
MARIANO ROLDAN,['7517']
MOLINO GALILEO,['7020']
MONTE CRESPO,['7020']
PACHAN,['7020']
PARQUE MUÑOZ,['7020']
RICARDO GAVIÑA,['7313']
TEDIN URIBURU,['7066']
VILLA CACIQUE,['7005']
VILLA JUAREZ,['7020']
BERAZATEGUI,"['1880', '1884']"
CENTRO AGRICOLA EL PATO,['1893']
GUILLERMO E HUDSON,['1885']
JUAN MARIA GUTIERREZ,['1890']
PEREYRA,['1857']
PLATANOS,['1861']
RANELAGH,['1886']
SOURIGUES,['1837']
VILLA ESPAÑA,['1860']
ARROYO DEL PESCADO,['1923']
ARROYO LA MAZA,['1923']
BERISSO,"['1923', '1924']"
FRIGORIFICO ARMOUR,['1923']
ISLA PAULINO,['1929']
LA BALANDRA,['1923']
LOS TALAS,['1942']
PALO BLANCO,['1923']
BOLIVAR,['6550']
EL PORVENIR,['6550']
HALE,['6511']
JUAN F IBARRA,['6551']
LA PERLA,['6550']
LA TORRECITA,['6553']
MARIANO UNZUE,['6551']
NUEVA ESPAÑA,['6553']
PARAJE MIRAMAR,['6550']
PAULA,['6557']
PIROVANO,['6551']
SAN ANDRES,"['1651', '6551', '8180']"
URDAMPILLETA,['6553']
VALLIMANCA,['6557']
VILLA LYNCH PUEYRREDON,['6553']
VILLA SANZ,['6511']
ASAMBLEA,['6640']
